name	genename	timepoint	switch	pvalueSwitch	experiment	FCdown	FCup
nav3	ENSDART00000005847.9	4.5	down	0.00707236754913043	MZspg	4.5hpf 6.0hpf	
otub1b	ENSDART00000005853.9	3	up	0.0992244486174461	MZspg		
prickle2a	ENSDART00000005857.8	3.5	down	0.00176941561489874	MZspg	4.5hpf 5.0hpf	
rpp14	ENSDART00000005869.9	2.5	down	0.0924037417305645	MZspg		2.5hpf 5.0hpf 5.5hpf 6.0hpf
atp5po	ENSDART00000005879.8	2.5	up	0.108027000049739	MZspg		
mmp14a	ENSDART00000005884.8	4	up	0.000361612058148331	MZspg	3.0hpf	
ube2g1a	ENSDART00000005893.7	5	down	0.102445454081244	MZspg		
stk38a	ENSDART00000005906.6	5.5	down	0.0923886167392219	MZspg		
zgc:77375	ENSDART00000005923.7	5	up	0.0270590157217981	MZspg	4.0hpf 4.5hpf	
rad21a	ENSDART00000005927.8	4.5	up	0.0339685582229871	MZspg		
rpl5a	ENSDART00000005944.8	2.5	up	0.0744142241199919	MZspg		
smo	ENSDART00000005985.7	5	up	0.00595497038711867	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf
dffb	ENSDART00000005989.6	NA	none	0.161631424526012	MZspg		
atp1a1a.5	ENSDART00000006013.9	3	up	0.138452474078346	MZspg		
usp20	ENSDART00000006021.9	3.5	down	0.00832819218353109	MZspg		
eif2s1a	ENSDART00000006058.9	4.5	up	0.00802838001549178	MZspg		
bmp2k	ENSDART00000006079.10	2.5	up	0.141127232710055	MZspg		2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
cbl	ENSDART00000006085.8	4.5	down	0.0082495268705286	MZspg	4.5hpf	
carm1	ENSDART00000006091.8	5	up	0.00247378346176808	MZspg		
slc50a1	ENSDART00000006093.7	5.5	down	0.0186423854513627	MZspg		
agk	ENSDART00000006109.6	2.5	up	0.0562657118531916	MZspg		
pik3cd	ENSDART00000006120.10	4	down	0.0101243450406532	MZspg	5.5hpf	
cops2	ENSDART00000006124.8	3.5	up	0.0637357731387793	MZspg		
cfl1	ENSDART00000006132.8	4.5	up	0.0276914413081605	MZspg		
primpol	ENSDART00000006147.9	4	down	0.03232260733232	MZspg		3.0hpf
cldn7b	ENSDART00000006173.10	4	up	0.00424166946397053	MZspg	6.0hpf	
LIN28A	ENSDART00000006212.7	5.5	up	0.000673943906410623	MZspg		
plpp2a	ENSDART00000006216.9	5	down	0.0148077922400379	MZspg	6.0hpf	
dhx16	ENSDART00000006288.10	4.5	up	0.0612405268929265	MZspg		
hacd3	ENSDART00000006300.7	5.5	down	0.058976831689774	MZspg	6.0hpf	
mterf3	ENSDART00000006338.8	5.5	down	0.103243819262312	MZspg		
asb7	ENSDART00000006343.9	3.5	down	0.0211386134252598	MZspg		
cap1	ENSDART00000006344.9	5	down	0.0694011019396052	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
ndfip1	ENSDART00000006373.6	5	down	0.0102676120588144	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
tbx3a	ENSDART00000006380.9	3	up	0.0123563588816206	MZspg	3.5hpf 4.0hpf 4.5hpf 5.0hpf	6.0hpf
psen2	ENSDART00000006381.8	4.5	up	0.00068948544260472	MZspg		
atp1b1a	ENSDART00000006386.7	5	up	0.00119637724889055	MZspg		3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
pgm1	ENSDART00000006417.8	5	up	0.142295040127361	MZspg	6.0hpf	
hibadhb	ENSDART00000006429.8	2.5	up	0.0974851395684445	MZspg		
pink1	ENSDART00000006436.9	4	down	0.0156251934216187	MZspg		
gtf2a1	ENSDART00000006443.7	5.5	down	0.024377821128159	MZspg		
acsl4a	ENSDART00000006489.8	4	down	0.034798822592732	MZspg		
tlk2	ENSDART00000006490.9	4	down	0.0377359396999798	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
mxtx2	ENSDART00000006505.9	2.5	up	0.0652110093965236	MZspg		3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
sh3gl3b	ENSDART00000006512.7	4	down	0.000723410260635271	MZspg		
pdhb	ENSDART00000006513.9	4.5	up	0.0233961236298318	MZspg	2.5hpf 3.0hpf 3.5hpf	
gtf2f2b	ENSDART00000006514.7	2.5	down	0.085444487747887	MZspg		
otx2a	ENSDART00000006538.8	5.5	up	0.00176064591323377	MZspg		3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf
saal1	ENSDART00000006579.9	5.5	down	0.0701354092614171	MZspg		
tbr1b	ENSDART00000006612.7	5.5	up	0.0312170699159854	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf	
rbpms2b	ENSDART00000006619.8	5	down	0.010606622631827	MZspg	5.0hpf 6.0hpf	
kat6a	ENSDART00000006622.7	5.5	up	0.0575756407365917	MZspg		5.0hpf
zgc:173742	ENSDART00000006628.10	4.5	down	0.00801210045818945	MZspg	6.0hpf 6.0hpf	
mnat1	ENSDART00000006648.8	5	down	0.0226047876145492	MZspg		
mvk	ENSDART00000006673.8	4	down	0.000981690128122881	MZspg		5.5hpf 6.0hpf
maf1	ENSDART00000006703.6	4.5	up	0.0576828329077876	MZspg		
dldh	ENSDART00000006709.7	4.5	up	0.0035266462510507	MZspg		
yipf1	ENSDART00000006748.7	4	down	0.00233816257747566	MZspg		
tm9sf4	ENSDART00000006765.9	4	up	0.0688698028849799	MZspg		
acat2	ENSDART00000006778.9	5.5	down	0.0557186966863475	MZspg		
snrnp25	ENSDART00000006783.6	4.5	up	0.0545544506606095	MZspg		
cct7	ENSDART00000006802.7	4.5	up	0.0223799698426254	MZspg		
dnm1l	ENSDART00000006840.7	4	down	0.00010190870968807	MZspg	5.0hpf 6.0hpf	
ddx3xa	ENSDART00000006867.9	4	up	0.0211583687354965	MZspg		
uqcrfs1	ENSDART00000006868.10	5.5	up	0.017090773186726	MZspg		
ptgs2a	ENSDART00000006870.8	5	up	4.9543581141398e-05	MZspg		4.5hpf 5.0hpf 5.5hpf
zbtb39	ENSDART00000006881.9	4	down	0.0002886104533667	MZspg		
tp53bp2a	ENSDART00000006892.11	5	up	0.025675657522479	MZspg		
use1	ENSDART00000006927.6	4	down	0.0322302831142087	MZspg		
txndc15	ENSDART00000006942.10	5	up	0.0115505787720623	MZspg		
sept4a	ENSDART00000006971.8	5	down	0.100755096056848	MZspg	5.5hpf 6.0hpf	
elovl5	ENSDART00000006990.6	5	down	0.0357270320071641	MZspg	2.5hpf 3.0hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
atp6v1ba	ENSDART00000007021.9	5.5	up	0.097555916701362	MZspg		
usb1	ENSDART00000007029.9	5.5	up	0.10224748263282	MZspg		
klhl42	ENSDART00000007030.7	4.5	down	0.0391962341464516	MZspg		
narf	ENSDART00000007053.9	4.5	down	0.00104695007062605	MZspg		
cdk8	ENSDART00000007066.7	4.5	down	0.0139815147546393	MZspg		3.0hpf 3.5hpf
asna1	ENSDART00000007079.9	4	up	0.000624287346893015	MZspg		
tbx16	ENSDART00000007090.9	5	up	0.00213346190633523	MZspg	2.5hpf	3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf
nuak1a	ENSDART00000007103.8	4.5	up	0.0116233952682132	MZspg		4.0hpf
mfsd6l	ENSDART00000007119.6	4.5	down	0.00172710550641786	MZspg		4.5hpf
prpsap2	ENSDART00000007170.6	3.5	down	0.0110064734782485	MZspg	3.5hpf	
traf3ip1	ENSDART00000007189.10	4	down	1.90759215175085e-05	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf	
