"name"	"genename"	"pvalueSwitch"	"switch"	"timepoint"	"experiment"
"ENSDART00000169923.2"	"ndel1b"	0.0992204900986182	"-1"	"3.0"	"MZspg"
"ENSDART00000169931.2"	"pcsk2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169940.2"	"tmem176l.1"	0.115992057381992	"-1"	"3.5"	"MZspg"
"ENSDART00000169962.2"	"si:ch73-347e22.4"	0.121001321663495	"1"	"4.5"	"MZspg"
"ENSDART00000169966.2"	"igfbp3"	0.0328324118791402	"-1"	"3.5"	"MZspg"
"ENSDART00000169970.2"	"gcna"	0.115321766897037	"-1"	"3.0"	"MZspg"
"ENSDART00000169972.3"	"si:ch211-151g22.1"	0.144012979428615	"-1"	"4.0"	"MZspg"
"ENSDART00000169977.3"	"bnip1b"	0.100794757686067	"-1"	"4.0"	"MZspg"
"ENSDART00000169987.2"	"lto1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169989.2"	"BX649355.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170012.2"	"mapre3b"	0.102946347394651	"-1"	"4.0"	"MZspg"
"ENSDART00000170022.2"	"zgc:173705"	0.112405572256135	"1"	"4.0"	"MZspg"
"ENSDART00000170043.2"	"rbm12"	0.0527165087898152	"1"	"4.0"	"MZspg"
"ENSDART00000170050.2"	"cdkn1cb"	0.117087966716264	"1"	"3.5"	"MZspg"
"ENSDART00000170059.2"	"si:ch211-283l16.1"	0.130104335512188	"1"	"3.5"	"MZspg"
"ENSDART00000170066.2"	"si:dkey-207l24.2"	0.108655077277004	"1"	"3.5"	"MZspg"
"ENSDART00000170067.2"	"zgc:174314"	0.123180768108359	"1"	"4.0"	"MZspg"
"ENSDART00000170074.2"	"azi2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170084.2"	"rbm5"	0.104275248986203	"1"	"4.5"	"MZspg"
"ENSDART00000170094.2"	"creb1b"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170097.2"	"trpm6"	0.117758679778885	"1"	"4.0"	"MZspg"
"ENSDART00000170139.2"	"CABZ01085177.1"	0.126399125524235	"-1"	"3.0"	"MZspg"
"ENSDART00000170148.2"	"CABZ01081747.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170158.2"	"apooa"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170161.2"	"si:ch73-299h12.2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170163.2"	"si:ch211-145h19.5"	0.130592083421319	"1"	"4.0"	"MZspg"
"ENSDART00000170182.2"	"acat1"	0.143401156968884	"-1"	"3.0"	"MZspg"
"ENSDART00000170194.2"	"slc6a16b"	0.114301988345984	"-1"	"4.0"	"MZspg"
"ENSDART00000170200.2"	"BX682558.1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170210.2"	"si:ch211-196l7.4"	0.129088540869018	"1"	"4.0"	"MZspg"
"ENSDART00000170216.2"	"glula"	0.0865274180951159	"1"	"4.5"	"MZspg"
"ENSDART00000170224.3"	"shcbp1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170281.2"	"rab3gap1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000170293.2"	"si:dkeyp-20g2.1"	0.0424730777101912	"-1"	"4.5"	"MZspg"
"ENSDART00000170312.2"	"actr5"	NA	"0"	" NA"	"MZspg"
